,alpha,dtfact,dtheta,t,turn
104,1000.0,1000.0,0.0620615073997,442.362666663,5
105,1000.0,1000.0,0.071855867356,530.834787875,6
106,1000.0,1000.0,0.0816502273226,619.306909091,7
107,1000.0,1000.0,0.0914445872735,707.779030307,8
108,1000.0,1000.0,0.101238947238,796.251151523,9
109,1000.0,1000.0,0.111033307205,884.723272739,10
110,1000.0,2000.0,0.00654485392019,0.0010303030303,0
111,1000.0,2000.0,0.0163427055118,88.4731515149,1
112,1000.0,2000.0,0.0261405570931,176.945272726,2
113,1000.0,2000.0,0.0359384086897,265.417393938,3
114,1000.0,2000.0,0.0457362602632,353.889515154,4
115,1000.0,2000.0,0.0555341117936,442.361636369,5
116,1000.0,2000.0,0.0653319633495,530.833757585,6
117,1000.0,2000.0,0.0751298148699,619.305878801,7
118,1000.0,2000.0,0.0849276663895,707.778000017,8
119,1000.0,2000.0,0.0947255179391,796.250121233,9
120,1000.0,2000.0,0.104523369481,884.722242449,10
121,1000.0,5000.0,0.00261794148892,0.000412121212121,0
122,1000.0,5000.0,0.0124167708916,88.4725333335,1
123,1000.0,5000.0,0.0222156003338,176.944654542,2
124,1000.0,5000.0,0.0320144297065,265.416775749,3
125,1000.0,5000.0,0.0418132591747,353.888896955,4
126,1000.0,5000.0,0.0516120886913,442.361018161,5
127,1000.0,5000.0,0.0614109181781,530.833139367,6
128,1000.0,5000.0,0.0712097476036,619.305260573,7
129,1000.0,5000.0,0.0810085769412,707.777381779,8
130,1000.0,5000.0,0.090807406283,796.249502986,9
131,1000.0,5000.0,0.100606235525,884.721624192,10
132,2000.0,100.0,0.130897202935,0.0206060606061,0
133,2000.0,100.0,0.153949527581,88.4824242424,1
134,2000.0,100.0,0.177001852252,176.944242424,2
135,2000.0,100.0,0.200054176955,265.406060606,3
136,2000.0,100.0,0.223106501685,353.867878788,4
137,2000.0,100.0,0.246158826438,442.329696969,5
138,2000.0,100.0,0.269211151202,530.791515151,6
139,2000.0,100.0,0.29226347596,619.253333333,7
140,2000.0,100.0,0.315315800711,707.715151515,8
141,2000.0,100.0,0.338368125455,796.176969696,9
142,2000.0,100.0,0.361420450191,884.638787878,10
143,2000.0,200.0,0.0654485543577,0.010303030303,0
144,2000.0,200.0,0.0888500299485,88.4721212121,1
145,2000.0,200.0,0.112251505562,176.933939394,2
146,2000.0,200.0,0.135652981198,265.395757576,3
147,2000.0,200.0,0.159054456831,353.857575757,4
148,2000.0,200.0,0.182455932464,442.319393939,5
149,2000.0,200.0,0.205857408078,530.781212121,6
150,2000.0,200.0,0.229258883675,619.243030303,7
151,2000.0,200.0,0.219936078017,707.699696969,8
152,2000.0,200.0,0.243337553638,796.161515151,9
153,2000.0,200.0,0.266739029302,884.623333333,10
154,2000.0,500.0,0.026179416465,0.00412121212121,0
155,2000.0,500.0,0.0496786541566,88.4659393939,1
156,2000.0,500.0,0.0731778918855,176.927757576,2
157,2000.0,500.0,0.0835874211416,265.387515152,3
158,2000.0,500.0,0.107086658886,353.849333332,4
159,2000.0,500.0,0.130585896623,442.311151513,5
160,2000.0,500.0,0.15408513435,530.772969694,6
161,2000.0,500.0,0.164494663565,619.232727269,7
162,2000.0,500.0,0.187993901301,707.694545449,8
163,2000.0,500.0,0.211493139021,796.15636363,9
164,2000.0,500.0,0.221902668225,884.616121205,10
165,2000.0,1000.0,0.0130897078617,0.00206060606061,0
166,2000.0,1000.0,0.0366029115472,88.463878788,1
167,2000.0,1000.0,0.0535712612505,176.924666666,2
168,2000.0,1000.0,0.0770844649189,265.386484847,3
169,2000.0,1000.0,0.0940528146465,353.847272725,4
170,2000.0,1000.0,0.111021164381,442.308060602,5
171,2000.0,1000.0,0.134534368088,530.769878784,6
172,2000.0,1000.0,0.151502717834,619.230666667,7
173,2000.0,1000.0,0.16847106755,707.691454549,8
174,2000.0,1000.0,0.191984271154,796.153272735,9
175,2000.0,1000.0,0.20895262081,884.614060618,10
176,2000.0,2000.0,0.00654485392019,0.0010303030303,0
177,2000.0,2000.0,0.0267891221247,88.4623333331,1
178,2000.0,2000.0,0.0470333903552,176.923636362,2
179,2000.0,2000.0,0.0672776585718,265.384939392,3
180,2000.0,2000.0,0.0842494998171,353.845727275,4
181,2000.0,2000.0,0.104493767999,442.307030309,5
182,2000.0,2000.0,0.12473803619,530.768333343,6
183,2000.0,2000.0,0.144982304367,619.229636377,7
184,2000.0,2000.0,0.161954145612,707.69042426,8
185,2000.0,2000.0,0.182198413751,796.151727294,9
186,2000.0,2000.0,0.202442681931,884.613030328,10
187,2000.0,5000.0,0.00261794148892,0.000412121212121,0
188,2000.0,5000.0,0.0222087019849,88.4616121214,1
189,2000.0,5000.0,0.0417994624294,176.922812118,2
190,2000.0,5000.0,0.06139022292,265.384012112,3
191,2000.0,5000.0,0.0809809833522,353.845212106,4
192,2000.0,5000.0,0.100571743736,442.3064121,5
193,2000.0,5000.0,0.120162504091,530.767612094,6
194,2000.0,5000.0,0.139753264299,619.228812088,7
195,2000.0,5000.0,0.158035053759,707.689806022,8
196,2000.0,5000.0,0.177625814033,796.151006016,9
197,2000.0,5000.0,0.197216574281,884.61220601,10
198,3000.0,100.0,0.130897202957,0.0206060606061,0
199,3000.0,100.0,0.167654891696,88.4721212121,1
200,3000.0,100.0,0.204412580545,176.923636364,2
201,3000.0,100.0,0.24117026947,265.375151515,3
202,3000.0,100.0,0.277927958416,353.826666666,4
203,3000.0,100.0,0.314685647352,442.278181818,5
204,3000.0,100.0,0.351443336211,530.729696969,6
205,3000.0,100.0,0.388201024943,619.181212121,7
206,3000.0,100.0,0.359510079488,707.622424242,8
207,3000.0,100.0,0.396267768142,796.073939393,9
208,3000.0,100.0,0.433025456922,884.525454545,10
209,3000.0,200.0,0.0654485543577,0.010303030303,0
210,3000.0,200.0,0.102555365634,88.4618181818,1
211,3000.0,200.0,0.139662176937,176.913333333,2
212,3000.0,200.0,0.176768988237,265.364848485,3
213,3000.0,200.0,0.181151518224,353.811212121,4
214,3000.0,200.0,0.218258329517,442.262727272,5
215,3000.0,200.0,0.255365140858,530.714242424,6
216,3000.0,200.0,0.292471952176,619.165757575,7
217,3000.0,200.0,0.296854482198,707.612121212,8
218,3000.0,200.0,0.333961293497,796.063636363,9
219,3000.0,200.0,0.371068104849,884.515151514,10
220,3000.0,500.0,0.026179416465,0.00412121212121,0
221,3000.0,500.0,0.063383981874,88.4556363636,1
222,3000.0,500.0,0.0874988387643,176.905090909,2
223,3000.0,500.0,0.124703404143,265.356606061,3
224,3000.0,500.0,0.148818260992,353.806060605,4
225,3000.0,500.0,0.172933117827,442.25551515,5
226,3000.0,500.0,0.210137683135,530.7070303,6
227,3000.0,500.0,0.234252539955,619.156484844,7
228,3000.0,500.0,0.258367396742,707.605939389,8
229,3000.0,500.0,0.295571962043,796.057454539,9
230,3000.0,500.0,0.319686818846,884.506909084,10
231,3000.0,1000.0,0.0130897078617,0.00206060606061,0
232,3000.0,1000.0,0.043763384149,88.4525454546,1
233,3000.0,1000.0,0.0744370604441,176.903030303,2
234,3000.0,1000.0,0.105110736714,265.35351515,3
235,3000.0,1000.0,0.129239558996,353.802969694,4
236,3000.0,1000.0,0.15991323525,442.253454542,5
237,3000.0,1000.0,0.19058691151,530.70393939,6
238,3000.0,1000.0,0.221260587727,619.154424243,7
239,3000.0,1000.0,0.251934263947,707.604909095,8
240,3000.0,1000.0,0.276063086202,796.054363644,9
241,3000.0,1000.0,0.306736762426,884.504848497,10
242,3000.0,2000.0,0.00654485392019,0.0010303030303,0
243,3000.0,2000.0,0.0372220214911,88.4515151513,1
244,3000.0,2000.0,0.0646267621963,176.901484847,2
245,3000.0,2000.0,0.0953039298598,265.351969695,3
246,3000.0,2000.0,0.125981097447,353.802454547,4
247,3000.0,2000.0,0.153385838091,442.252424248,5
248,3000.0,2000.0,0.184063005719,530.702909101,6
249,3000.0,2000.0,0.211467746421,619.152878801,7
250,3000.0,2000.0,0.242144914045,707.603363654,8
251,3000.0,2000.0,0.26954965472,796.053333354,9
252,3000.0,2000.0,0.300226822311,884.503818207,10
253,3000.0,5000.0,0.00261794148892,0.000412121212121,0
254,3000.0,5000.0,0.0319871158752,88.4506909092,1
