,alpha,dtfact,dtheta,t,turn
104,1000.0,2000.0,0.0391719776009,442.359060612,4
105,1000.0,2000.0,0.0489698293265,530.831181828,5
106,1000.0,2000.0,0.058767681043,619.303303044,6
107,1000.0,2000.0,0.0685655327881,707.77542426,7
108,1000.0,2000.0,0.0783633845374,796.247545476,8
109,1000.0,2000.0,0.0881612362926,884.719666692,9
110,1000.0,5000.0,0.00718088768517,88.4717090911,0
111,1000.0,5000.0,0.0156707461441,176.943624239,1
112,1000.0,5000.0,0.025469575417,265.415745446,2
113,1000.0,5000.0,0.0352684048162,353.887866652,3
114,1000.0,5000.0,0.0450672342018,442.359987858,4
115,1000.0,5000.0,0.0548660636382,530.832109064,5
116,1000.0,5000.0,0.0646648931207,619.30423027,6
117,1000.0,5000.0,0.0744637226166,707.776351476,7
118,1000.0,5000.0,0.0842625520851,796.248472683,8
119,1000.0,5000.0,0.0940613816761,884.720593889,9
120,2000.0,100.0,0.107844878347,88.4412121212,0
121,2000.0,100.0,0.15024118778,176.892727273,1
122,2000.0,100.0,0.127188863215,265.354545454,2
123,2000.0,100.0,0.1041365386,353.816363636,3
124,2000.0,100.0,0.0810842139544,442.278181818,4
125,2000.0,100.0,0.0580318892754,530.74,5
126,2000.0,100.0,0.0349795645557,619.201818181,6
127,2000.0,100.0,0.0119272397999,707.663636363,7
128,2000.0,100.0,0.0111250848939,796.125454545,8
129,2000.0,100.0,0.0341774096928,884.587272727,9
130,2000.0,200.0,0.0747713600435,88.4463636364,0
131,2000.0,200.0,0.0513698844726,176.908181818,1
132,2000.0,200.0,0.0279684089005,265.37,2
133,2000.0,200.0,0.00456693323676,353.831818182,3
134,2000.0,200.0,0.0188345423079,442.293636363,4
135,2000.0,200.0,0.0422360179436,530.755454545,5
136,2000.0,200.0,0.0656374935511,619.217272727,6
137,2000.0,200.0,0.0890389691432,707.679090909,7
138,2000.0,200.0,0.112440444705,796.14090909,8
139,2000.0,200.0,0.103117639013,884.597575757,9
140,2000.0,500.0,0.015769887246,88.4556363636,0
141,2000.0,500.0,0.00772935042006,176.917454546,1
142,2000.0,500.0,0.031228588215,265.379272727,2
143,2000.0,500.0,0.0416381174159,353.839030302,3
144,2000.0,500.0,0.0651373551038,442.300848483,4
145,2000.0,500.0,0.0886365928063,530.762666664,5
146,2000.0,500.0,0.0990461219997,619.222424238,6
147,2000.0,500.0,0.122545359661,707.684242419,7
148,2000.0,500.0,0.146044597329,796.1460606,8
149,2000.0,500.0,0.156454126525,884.605818175,9
150,2000.0,1000.0,0.00387864190014,88.4587272728,0
151,2000.0,1000.0,0.020846991579,176.919515151,1
152,2000.0,1000.0,0.044360195288,265.381333332,2
153,2000.0,1000.0,0.0613285450162,353.84212121,3
154,2000.0,1000.0,0.0782968947358,442.302909087,4
155,2000.0,1000.0,0.101810098416,530.764727269,5
156,2000.0,1000.0,0.118778448163,619.225515152,6
157,2000.0,1000.0,0.142291651907,707.687333337,7
158,2000.0,1000.0,0.159260001702,796.14812122,8
159,2000.0,1000.0,0.176228351481,884.608909103,9
160,2000.0,2000.0,0.0104269873948,88.4597575755,0
161,2000.0,2000.0,0.0306712556111,176.921060605,1
162,2000.0,2000.0,0.0509155238722,265.382363635,2
163,2000.0,2000.0,0.0711597921546,353.843666669,3
164,2000.0,2000.0,0.088131633561,442.304454551,4
165,2000.0,2000.0,0.108375901903,530.765757585,5
166,2000.0,2000.0,0.128620170309,619.22706062,6
167,2000.0,2000.0,0.148864438724,707.688363654,7
168,2000.0,2000.0,0.165836280144,796.149151536,8
169,2000.0,2000.0,0.186080548568,884.61045457,9
170,2000.0,5000.0,0.0156638482211,88.4605818183,0
171,2000.0,5000.0,0.0352546087614,176.921781815,1
172,2000.0,5000.0,0.054845369279,265.382981809,2
173,2000.0,5000.0,0.0744361297579,353.844181803,3
174,2000.0,5000.0,0.0940268901342,442.305381797,4
175,2000.0,5000.0,0.113617650532,530.766581791,5
176,2000.0,5000.0,0.133208410952,619.227781785,6
177,2000.0,5000.0,0.152799171361,707.68898178,7
178,2000.0,5000.0,0.171080961019,796.149975713,8
179,2000.0,5000.0,0.190671721524,884.611175707,9
180,3000.0,100.0,0.159588148416,88.4206060606,0
181,3000.0,100.0,0.122830459803,176.872121212,1
182,3000.0,100.0,0.0860727710689,265.323636364,2
183,3000.0,100.0,0.0493150822264,353.775151515,3
184,3000.0,100.0,0.0125573933111,442.226666666,4
185,3000.0,100.0,0.0242002955691,530.678181818,5
186,3000.0,100.0,0.0609579844516,619.129696969,6
187,3000.0,100.0,0.0977156732124,707.581212121,7
188,3000.0,100.0,0.134473361832,796.032727272,8
189,3000.0,100.0,0.105782416315,884.473939393,9
190,3000.0,200.0,0.0610660244187,88.4360606061,0
191,3000.0,200.0,0.0239592131615,176.887575757,1
192,3000.0,200.0,0.0131475981092,265.339090909,2
193,3000.0,200.0,0.0502544093936,353.79060606,3
194,3000.0,200.0,0.0546369393587,442.236969697,4
195,3000.0,200.0,0.0917437506475,530.688484848,5
196,3000.0,200.0,0.128850561945,619.14,6
197,3000.0,200.0,0.165957373236,707.591515151,7
198,3000.0,200.0,0.17033990321,796.037878787,8
199,3000.0,200.0,0.207446714491,884.489393939,9
200,3000.0,500.0,0.00206455972958,88.4453333333,0
201,3000.0,500.0,0.0220502973387,176.894787879,1
202,3000.0,500.0,0.0592548627186,265.34630303,2
203,3000.0,500.0,0.0833697196168,353.795757575,3
204,3000.0,500.0,0.12057428503,442.247272725,4
205,3000.0,500.0,0.144689141996,530.69672727,5
206,3000.0,500.0,0.168803998972,619.146181814,6
207,3000.0,500.0,0.206008564466,707.597696965,7
208,3000.0,500.0,0.230123421468,796.047151509,8
209,3000.0,500.0,0.254238278488,884.496606053,9
210,3000.0,1000.0,0.0110391144842,88.4473939395,0
211,3000.0,1000.0,0.0417127906856,176.897878787,1
212,3000.0,1000.0,0.072386466928,265.348363635,2
213,3000.0,1000.0,0.1030601432,353.798848482,3
214,3000.0,1000.0,0.127188965484,442.248303027,4
215,3000.0,1000.0,0.157862641746,530.698787875,5
216,3000.0,1000.0,0.188536318026,619.149272727,6
217,3000.0,1000.0,0.219209994267,707.59975758,7
218,3000.0,1000.0,0.243338816503,796.049212129,8
219,3000.0,1000.0,0.274012492658,884.499696981,9
220,3000.0,2000.0,0.0208598866963,88.4489393937,0
221,3000.0,2000.0,0.0515370542449,176.899424241,1
222,3000.0,2000.0,0.0789417947665,265.349393938,2
223,3000.0,2000.0,0.109618962173,353.79987879,3
224,3000.0,2000.0,0.137023702595,442.249848491,4
225,3000.0,2000.0,0.167700869934,530.700333343,5
226,3000.0,2000.0,0.195105610342,619.150303044,6
227,3000.0,2000.0,0.225782777741,707.600787896,7
228,3000.0,2000.0,0.25318751818,796.050757597,8
229,3000.0,2000.0,0.283864685483,884.501242449,9
230,3000.0,5000.0,0.0254422620226,88.4496606062,0
231,3000.0,5000.0,0.0548114364006,176.899939391,1
232,3000.0,5000.0,0.0841806107257,265.350218173,2
233,3000.0,5000.0,0.113549785088,353.800496955,3
234,3000.0,5000.0,0.142918959351,442.250775737,4
235,3000.0,5000.0,0.172288133487,530.701054519,5
236,3000.0,5000.0,0.200348336873,619.15112724,6
237,3000.0,5000.0,0.229717511007,707.601406022,7
238,3000.0,5000.0,0.259086685251,796.051684804,8
239,3000.0,5000.0,0.288455859489,884.501963586,9
240,4000.0,100.0,0.145896297578,88.4103030303,0
241,4000.0,100.0,0.0954467578743,176.851515151,1
242,4000.0,100.0,0.0449972179372,265.292727273,2
243,4000.0,100.0,0.00545232203942,353.733939394,3
244,4000.0,100.0,0.0559018619489,442.175151515,4
245,4000.0,100.0,0.106351401589,530.616363636,5
246,4000.0,100.0,0.0913523070316,619.047272727,6
247,4000.0,100.0,0.141801846869,707.488484848,7
248,4000.0,100.0,0.192251386873,795.929696969,8
249,4000.0,100.0,0.242700926871,884.37090909,9
250,4000.0,200.0,0.0473742018569,88.4257575757,0
251,4000.0,200.0,0.00342443202925,176.866969697,1
252,4000.0,200.0,0.0542230658161,265.308181818,2
253,4000.0,200.0,0.0722974183772,353.744242424,3
254,4000.0,200.0,0.123096052272,442.185454545,4
255,4000.0,200.0,0.141170404831,530.621515151,5
256,4000.0,200.0,0.191969038716,619.062727272,6
257,4000.0,200.0,0.24276767263,707.503939393,7
258,4000.0,200.0,0.260842025202,795.939999999,8
259,4000.0,200.0,0.311640659136,884.38121212,9
260,4000.0,500.0,0.0116272550566,88.435030303,0
261,4000.0,500.0,0.049433926547,176.874181818,1
262,4000.0,500.0,0.087240598059,265.313333334,2
263,4000.0,500.0,0.125047269542,353.752484848,3
264,4000.0,500.0,0.162853941021,442.191636362,4
265,4000.0,500.0,0.200660612507,530.630787876,5
266,4000.0,500.0,0.238467283999,619.06993939,6
