TM,alpha,angles,avg,beta,dt,std
88.87437094004436,0.0,"[ 4.00794715  2.62211454  2.62235563  4.00783716  2.62194449  2.62238479
  2.62186187  4.00776485  2.62237274  2.62204898]",3.037863219690785,0.0,1.0298304859796423,0.6350052445282689
88.87437094004436,0.0,"[ 4.38097672  2.24911549  2.24947858  2.24921892  4.38101775  2.24928646
  2.24946697  2.24902476  4.38091392  2.24940393]",2.888790349445798,10000.0,1.0298304859796423,0.9768605440609516
88.77138789144638,10000.0,"[ 4.79535345  1.83457758  1.83495737  1.8350554   1.83487151  4.79541865
  1.83466388  1.83499468  1.83504366  1.83481073]",2.4269746905284824,0.0,1.0298304859796423,1.1842056869493947
88.87437094004436,0.0,"[ 4.75389312  1.87622489  1.87661324  1.87662755  1.87626779  4.75392266
  1.87650602  1.8766665   1.87645283  4.75395786]",2.739713246789183,20000.0,1.0298304859796423,1.3186108286803602
88.66840484284842,20000.0,"[ 1.04875121  5.58160705  1.04867022  1.0487961   1.04888772  1.04894503
  1.04896802  1.04895667  1.04891099  1.048831  ]",1.5021324018997864,0.0,1.0298304859796423,1.3598248868579872
88.77138789144638,0.0,"[ 1.50346241  5.12670178  1.50380026  1.50394187  1.50388077  1.50361703
  5.12680426  1.50369236  1.50391158  1.50392812]",2.228374043641797,30000.0,1.0298304859796423,1.4491894947464767
88.56542179425045,30000.0,"[ 0.26412224  0.26412222  0.2641222   0.26412218  0.26412216  0.26412214
  0.26412212  0.2641221   0.26412208  0.26412206]",0.2641221504997806,0.0,1.0298304859796423,5.6503511305325434e-08
88.77138789144638,0.0,"[ 1.13097133  5.49953195  1.13107977  1.13124343  1.13131324  1.13128913
  1.13117113  1.13095933  5.49952524  1.13108952]",2.004817407804404,40000.0,1.0298304859796423,1.7473555962105616
88.46243874565248,40000.0,"[ 0.51935448  0.51943314  0.51947501  0.51948008  0.51944833  0.51937978
  0.51927446  6.11182051  0.51916946  0.51930278]",1.0786138021533964,0.0,1.0298304859796423,1.6777355719923546
88.66840484284842,0.0,"[ 0.75855372  5.87217191  0.7584914   0.75861291  0.75870113  0.75875602
  0.75877757  0.75876576  0.7587206   0.75864211]",1.270019311785241,50000.0,1.0298304859796423,1.534050868004357
88.35945569705451,50000.0,"[ 1.30165443  1.30183238  1.30172338  1.30132759  5.33000718  1.30171808
  1.30183304  1.30166103  5.33009127  1.30142909]",2.1073277471708627,0.0,1.0298304859796423,1.6113607477323104
88.66840484284842,0.0,"[ 0.38621078  0.38616686  6.24470193  0.38612993  0.38617888  0.38622104
  0.38625641  0.38628499  0.38630677  0.38632174]",0.972077935111877,60000.0,1.0298304859796423,1.7575413320918334
88.25647264845654,60000.0,"[ 2.08275381  2.08285905  4.54955613  2.08262009  2.08291403  4.54942875
  2.08244917  2.08293177  2.08245809  4.54943662]",2.8227407499755923,0.0,1.0298304859796423,1.1304121631267858
88.66840484284843,0.0,"[ 0.01394367  0.01394003  0.0139362   0.01393219  0.01392798  0.01392359
  0.01391901  0.01391424  0.01390928  6.61713356]",0.6742479761217862,70000.0,1.0298304859796423,1.9809618620853624
88.15348959985857,70000.0,"[ 2.86262954  2.86230221  3.76993178  2.86270437  3.77023998  2.86274159
  3.77003618  2.86241383  2.86255654  3.77015569]",3.2255711707864867,0.0,1.0298304859796423,0.44459852521186033
88.56542179425045,0.0,"[ 0.35824647  0.35825196  0.35825705  0.35826171  0.35826597  0.35826981
  0.35827324  0.35827626  0.35827886  0.35828105]",0.3582662389107615,80000.0,1.0298304859796423,1.1138912647084907e-05
88.05050655126061,80000.0,"[ 3.64125924  2.99201051  3.64131212  2.99204835  3.64134097  2.99206393
  3.64134579  2.99205727  3.64132658  2.99202835]",3.3166793109392794,0.0,1.0298304859796423,0.3246376307657421
88.56542179425045,0.0,"[ 0.73035852  0.73039564  0.730424    0.73044361  0.73045447  0.73045656
  0.73044989  0.73043446  0.73041027  0.73037733]",0.7304204754211694,90000.0,1.0298304859796423,3.2382683249209695e-05
87.94752350266263,90000.0,"[ 4.41862125  2.21504997  4.41833302  2.21452494  2.21504138  4.41863306
  2.21489787  2.21482479  4.4185906   2.2150629 ]",3.0963579768575578,0.0,1.0298304859796423,1.0795607725385907
88.46243874565248,0.0,"[ 1.1023914   1.10247767  1.10252553  1.10253494  1.1025059   1.10243842
  1.10233254  5.52952184  1.10221662  1.10235408]",1.5451298918414227,100000.0,1.0298304859796423,1.3281306519352643
87.84454045406467,100000.0,"[ 5.19469462  1.43908781  1.43924988  1.43876889  5.19454177  1.43922117
  1.43914931  5.19466223  1.43893211  1.43926947]",2.5657577254791093,0.0,1.0298304859796423,1.7210027700375736
88.05050655126061,0.0,"[ 4.81814253  1.81656703  4.81822583  1.81662817  4.81827637  1.81665939
  4.81829416  1.81666068  4.8182792   1.81663204]",3.3174365407408337,200000.0,1.0298304859796423,1.5008070788153696
86.81470996808498,200000.0,"[ 6.25230005  0.38535238  0.38538181  6.25222717  0.38490682  0.38538676
  0.38534589  6.25231201  0.38500194  0.38541165]",2.1453626479035677,0.0,1.0298304859796423,2.6886083574484756
87.63857435686873,0.0,"[ 8.52495386  1.88855439  1.88850032  1.88845472  1.8884176   1.88838896
  1.8883688   1.88835713  1.88835395  1.88835926]",2.5520708995790273,300000.0,1.0298304859796423,1.9909609883630373
85.68189643350733,300000.0,"[ 0.54309895  0.54274229  0.54291403  7.18472174  0.54299079  0.54273425
  0.54300613  7.18471766  0.5429016   0.5427452 ]",1.8712572640004275,0.0,1.0298304859796423,2.6567312210491285
